origin_hub,order_date,inventory_units
Hub 1,2025-02-01,9693
Hub 2,2025-02-01,2759
Hub 3,2025-02-01,2026
Hub 1,2025-02-02,2948
Hub 2,2025-02-02,5049
Hub 3,2025-02-02,5562
Hub 1,2025-02-03,9994
Hub 2,2025-02-03,7240
Hub 3,2025-02-03,1421
Hub 1,2025-02-04,4582
Hub 2,2025-02-04,3243
Hub 3,2025-02-04,2931
Hub 1,2025-02-05,5957
Hub 2,2025-02-05,1784
Hub 3,2025-02-05,3876
Hub 1,2025-02-06,4487
Hub 2,2025-02-06,5792
Hub 3,2025-02-06,8829
Hub 1,2025-02-07,6966
Hub 2,2025-02-07,9946
Hub 3,2025-02-07,1518
Hub 1,2025-02-08,6519
Hub 2,2025-02-08,2909
Hub 3,2025-02-08,4058
Hub 1,2025-02-09,6563
Hub 2,2025-02-09,2419
Hub 3,2025-02-09,8521
Hub 1,2025-02-10,9248
Hub 2,2025-02-10,9985
Hub 3,2025-02-10,7819
Hub 1,2025-02-11,4256
Hub 2,2025-02-11,6428
Hub 3,2025-02-11,9075
Hub 1,2025-02-12,2813
Hub 2,2025-02-12,7646
Hub 3,2025-02-12,3041
Hub 1,2025-02-13,6406
Hub 2,2025-02-13,2058
Hub 3,2025-02-13,4138
Hub 1,2025-02-14,4336
Hub 2,2025-02-14,8539
Hub 3,2025-02-14,5310
Hub 1,2025-02-15,3143
Hub 2,2025-02-15,9714
Hub 3,2025-02-15,6714
Hub 1,2025-02-16,8839
Hub 2,2025-02-16,4002
Hub 3,2025-02-16,2638
Hub 1,2025-02-17,3088
Hub 2,2025-02-17,4190
Hub 3,2025-02-17,2307
Hub 1,2025-02-18,3847
Hub 2,2025-02-18,3217
Hub 3,2025-02-18,5604
Hub 1,2025-02-19,3786
Hub 2,2025-02-19,9692
Hub 3,2025-02-19,5279
Hub 1,2025-02-20,1373
Hub 2,2025-02-20,6625
Hub 3,2025-02-20,3131
Hub 1,2025-02-21,6115
Hub 2,2025-02-21,1373
Hub 3,2025-02-21,2732
Hub 1,2025-02-22,6652
Hub 2,2025-02-22,8721
Hub 3,2025-02-22,5673
Hub 1,2025-02-23,7003
Hub 2,2025-02-23,7868
Hub 3,2025-02-23,3970
Hub 1,2025-02-24,3121
Hub 2,2025-02-24,9829
Hub 3,2025-02-24,5937
Hub 1,2025-02-25,1108
Hub 2,2025-02-25,7038
Hub 3,2025-02-25,7482
Hub 1,2025-02-26,4565
Hub 2,2025-02-26,2178
Hub 3,2025-02-26,9999
Hub 1,2025-02-27,5171
Hub 2,2025-02-27,6990
Hub 3,2025-02-27,8386
Hub 1,2025-02-28,5209
Hub 2,2025-02-28,2033
Hub 3,2025-02-28,1034
Hub 1,2025-03-01,4615
Hub 2,2025-03-01,6427
Hub 3,2025-03-01,4095
Hub 1,2025-03-02,9565
Hub 2,2025-03-02,8531
Hub 3,2025-03-02,3807
Hub 1,2025-03-03,4759
Hub 2,2025-03-03,9242
Hub 3,2025-03-03,8072
Hub 1,2025-03-04,7337
Hub 2,2025-03-04,8698
Hub 3,2025-03-04,6214
Hub 1,2025-03-05,1824
Hub 2,2025-03-05,7791
Hub 3,2025-03-05,6105
Hub 1,2025-03-06,5675
Hub 2,2025-03-06,8389
Hub 3,2025-03-06,6520
Hub 1,2025-03-07,4886
Hub 2,2025-03-07,8212
Hub 3,2025-03-07,4499
Hub 1,2025-03-08,5217
Hub 2,2025-03-08,4612
Hub 3,2025-03-08,6611
Hub 1,2025-03-09,7273
Hub 2,2025-03-09,8678
Hub 3,2025-03-09,8537
Hub 1,2025-03-10,4644
Hub 2,2025-03-10,9704
Hub 3,2025-03-10,4065
Hub 1,2025-03-11,1969
Hub 2,2025-03-11,3738
Hub 3,2025-03-11,4471
Hub 1,2025-03-12,9060
Hub 2,2025-03-12,8578
Hub 3,2025-03-12,5894
Hub 1,2025-03-13,6402
Hub 2,2025-03-13,8305
Hub 3,2025-03-13,3680
Hub 1,2025-03-14,4018
Hub 2,2025-03-14,6753
Hub 3,2025-03-14,8217
Hub 1,2025-03-15,7504
Hub 2,2025-03-15,4891
Hub 3,2025-03-15,2774
Hub 1,2025-03-16,5995
Hub 2,2025-03-16,7929
Hub 3,2025-03-16,1279
Hub 1,2025-03-17,5433
Hub 2,2025-03-17,5250
Hub 3,2025-03-17,2459
Hub 1,2025-03-18,4200
Hub 2,2025-03-18,6379
Hub 3,2025-03-18,6989
Hub 1,2025-03-19,3397
Hub 2,2025-03-19,7393
Hub 3,2025-03-19,4456
Hub 1,2025-03-20,8789
Hub 2,2025-03-20,5876
Hub 3,2025-03-20,6322
Hub 1,2025-03-21,3338
Hub 2,2025-03-21,4225
Hub 3,2025-03-21,4973
Hub 1,2025-03-22,8378
Hub 2,2025-03-22,7247
Hub 3,2025-03-22,8213
Hub 1,2025-03-23,9146
Hub 2,2025-03-23,7685
Hub 3,2025-03-23,6589
Hub 1,2025-03-24,9609
Hub 2,2025-03-24,6955
Hub 3,2025-03-24,3942
Hub 1,2025-03-25,6236
Hub 2,2025-03-25,9958
Hub 3,2025-03-25,7473
Hub 1,2025-03-26,9148
Hub 2,2025-03-26,7355
Hub 3,2025-03-26,8724
Hub 1,2025-03-27,1663
Hub 2,2025-03-27,6848
Hub 3,2025-03-27,1599
Hub 1,2025-03-28,3129
Hub 2,2025-03-28,9686
Hub 3,2025-03-28,1757
Hub 1,2025-03-29,9882
Hub 2,2025-03-29,2526
Hub 3,2025-03-29,6542
Hub 1,2025-03-30,8608
Hub 2,2025-03-30,9578
Hub 3,2025-03-30,6146
Hub 1,2025-03-31,6709
Hub 2,2025-03-31,9675
Hub 3,2025-03-31,9478
Hub 1,2025-04-01,8623
Hub 2,2025-04-01,5040
Hub 3,2025-04-01,5900
Hub 1,2025-04-02,7802
Hub 2,2025-04-02,8965
Hub 3,2025-04-02,3121
Hub 1,2025-04-03,4306
Hub 2,2025-04-03,1225
Hub 3,2025-04-03,6685
Hub 1,2025-04-04,3151
Hub 2,2025-04-04,7861
Hub 3,2025-04-04,3507
Hub 1,2025-04-05,4795
Hub 2,2025-04-05,9645
Hub 3,2025-04-05,9352
Hub 1,2025-04-06,7605
Hub 2,2025-04-06,2093
Hub 3,2025-04-06,4600
Hub 1,2025-04-07,4024
Hub 2,2025-04-07,3827
Hub 3,2025-04-07,2063
Hub 1,2025-04-08,3151
Hub 2,2025-04-08,4431
Hub 3,2025-04-08,5613
Hub 1,2025-04-09,2573
Hub 2,2025-04-09,6169
Hub 3,2025-04-09,5097
Hub 1,2025-04-10,8944
Hub 2,2025-04-10,3336
Hub 3,2025-04-10,6383
Hub 1,2025-04-11,3845
Hub 2,2025-04-11,5400
Hub 3,2025-04-11,5978
Hub 1,2025-04-12,1991
Hub 2,2025-04-12,3873
Hub 3,2025-04-12,2263
Hub 1,2025-04-13,8749
Hub 2,2025-04-13,5608
Hub 3,2025-04-13,5782
Hub 1,2025-04-14,7380
Hub 2,2025-04-14,7682
Hub 3,2025-04-14,8946
Hub 1,2025-04-15,9021
Hub 2,2025-04-15,4048
Hub 3,2025-04-15,8432
Hub 1,2025-04-16,7136
Hub 2,2025-04-16,4173
Hub 3,2025-04-16,8005
Hub 1,2025-04-17,6945
Hub 2,2025-04-17,9283
Hub 3,2025-04-17,4069
Hub 1,2025-04-18,1223
Hub 2,2025-04-18,4820
Hub 3,2025-04-18,3046
Hub 1,2025-04-19,4092
Hub 2,2025-04-19,5794
Hub 3,2025-04-19,6683
Hub 1,2025-04-20,8996
Hub 2,2025-04-20,8545
Hub 3,2025-04-20,2350
Hub 1,2025-04-21,9393
Hub 2,2025-04-21,6989
Hub 3,2025-04-21,4640
Hub 1,2025-04-22,5782
Hub 2,2025-04-22,2299
Hub 3,2025-04-22,1361
Hub 1,2025-04-23,2228
Hub 2,2025-04-23,9614
Hub 3,2025-04-23,7743
Hub 1,2025-04-24,8476
Hub 2,2025-04-24,2786
Hub 3,2025-04-24,9700
Hub 1,2025-04-25,3687
Hub 2,2025-04-25,6129
Hub 3,2025-04-25,6364
Hub 1,2025-04-26,2444
Hub 2,2025-04-26,2668
Hub 3,2025-04-26,1274
Hub 1,2025-04-27,1572
Hub 2,2025-04-27,3617
Hub 3,2025-04-27,7945
Hub 1,2025-04-28,6134
Hub 2,2025-04-28,2084
Hub 3,2025-04-28,8782
Hub 1,2025-04-29,1045
Hub 2,2025-04-29,8694
Hub 3,2025-04-29,5458
Hub 1,2025-04-30,3119
Hub 2,2025-04-30,6167
Hub 3,2025-04-30,8070
Hub 1,2025-05-01,2091
Hub 2,2025-05-01,3974
Hub 3,2025-05-01,6931
Hub 1,2025-05-02,9190
Hub 2,2025-05-02,5974
Hub 3,2025-05-02,4716
Hub 1,2025-05-03,4987
Hub 2,2025-05-03,2123
Hub 3,2025-05-03,1476
Hub 1,2025-05-04,9835
Hub 2,2025-05-04,8096
Hub 3,2025-05-04,9960
Hub 1,2025-05-05,7317
Hub 2,2025-05-05,5993
Hub 3,2025-05-05,8146
Hub 1,2025-05-06,4009
Hub 2,2025-05-06,9726
Hub 3,2025-05-06,2187
Hub 1,2025-05-07,4579
Hub 2,2025-05-07,3263
Hub 3,2025-05-07,2079
Hub 1,2025-05-08,6265
Hub 2,2025-05-08,6555
Hub 3,2025-05-08,1896
Hub 1,2025-05-09,7188
Hub 2,2025-05-09,5646
Hub 3,2025-05-09,8486
Hub 1,2025-05-10,6552
Hub 2,2025-05-10,2251
Hub 3,2025-05-10,3968
Hub 1,2025-05-11,2649
Hub 2,2025-05-11,6302
Hub 3,2025-05-11,8892
Hub 1,2025-05-12,3371
Hub 2,2025-05-12,1632
Hub 3,2025-05-12,5660
Hub 1,2025-05-13,2660
Hub 2,2025-05-13,3981
Hub 3,2025-05-13,5427
Hub 1,2025-05-14,2750
Hub 2,2025-05-14,8727
Hub 3,2025-05-14,7688
Hub 1,2025-05-15,8781
Hub 2,2025-05-15,9700
Hub 3,2025-05-15,4013
Hub 1,2025-05-16,2736
Hub 2,2025-05-16,2910
Hub 3,2025-05-16,6928
Hub 1,2025-05-17,7231
Hub 2,2025-05-17,5245
Hub 3,2025-05-17,2534
Hub 1,2025-05-18,9957
Hub 2,2025-05-18,5594
Hub 3,2025-05-18,5277
Hub 1,2025-05-19,5238
Hub 2,2025-05-19,5682
Hub 3,2025-05-19,7326
Hub 1,2025-05-20,9725
Hub 2,2025-05-20,8388
Hub 3,2025-05-20,1887
Hub 1,2025-05-21,5801
Hub 2,2025-05-21,5503
Hub 3,2025-05-21,4932
Hub 1,2025-05-22,6525
Hub 2,2025-05-22,3297
Hub 3,2025-05-22,8908
Hub 1,2025-05-23,5346
Hub 2,2025-05-23,8326
Hub 3,2025-05-23,3836
Hub 1,2025-05-24,1140
Hub 2,2025-05-24,3923
Hub 3,2025-05-24,7474
Hub 1,2025-05-25,1458
Hub 2,2025-05-25,2697
Hub 3,2025-05-25,4106
Hub 1,2025-05-26,3607
Hub 2,2025-05-26,6627
Hub 3,2025-05-26,5867
Hub 1,2025-05-27,5947
Hub 2,2025-05-27,3273
Hub 3,2025-05-27,8001
Hub 1,2025-05-28,4166
Hub 2,2025-05-28,1405
Hub 3,2025-05-28,1664
Hub 1,2025-05-29,7265
Hub 2,2025-05-29,4940
Hub 3,2025-05-29,2898
Hub 1,2025-05-30,9345
Hub 2,2025-05-30,5167
Hub 3,2025-05-30,7694
Hub 1,2025-05-31,7061
Hub 2,2025-05-31,9131
Hub 3,2025-05-31,5476
Hub 1,2025-06-01,1742
Hub 2,2025-06-01,7720
Hub 3,2025-06-01,8716
Hub 1,2025-06-02,1436
Hub 2,2025-06-02,4634
Hub 3,2025-06-02,8309
Hub 1,2025-06-03,6488
Hub 2,2025-06-03,5832
Hub 3,2025-06-03,3418
Hub 1,2025-06-04,3495
Hub 2,2025-06-04,5683
Hub 3,2025-06-04,1809
Hub 1,2025-06-05,9533
Hub 2,2025-06-05,2302
Hub 3,2025-06-05,2163
Hub 1,2025-06-06,6809
Hub 2,2025-06-06,5417
Hub 3,2025-06-06,6478
Hub 1,2025-06-07,2437
Hub 2,2025-06-07,8233
Hub 3,2025-06-07,1715
Hub 1,2025-06-08,3493
Hub 2,2025-06-08,1393
Hub 3,2025-06-08,4994
Hub 1,2025-06-09,3124
Hub 2,2025-06-09,6921
Hub 3,2025-06-09,7360
Hub 1,2025-06-10,5628
Hub 2,2025-06-10,5968
Hub 3,2025-06-10,3182
Hub 1,2025-06-11,9264
Hub 2,2025-06-11,6947
Hub 3,2025-06-11,9926
Hub 1,2025-06-12,1495
Hub 2,2025-06-12,9132
Hub 3,2025-06-12,7211
Hub 1,2025-06-13,7993
Hub 2,2025-06-13,4006
Hub 3,2025-06-13,4469
Hub 1,2025-06-14,8642
Hub 2,2025-06-14,1491
Hub 3,2025-06-14,7095
Hub 1,2025-06-15,9888
Hub 2,2025-06-15,5916
Hub 3,2025-06-15,9372
Hub 1,2025-06-16,7932
Hub 2,2025-06-16,2340
Hub 3,2025-06-16,1757
Hub 1,2025-06-17,1377
Hub 2,2025-06-17,3402
Hub 3,2025-06-17,7691
Hub 1,2025-06-18,1480
Hub 2,2025-06-18,9951
Hub 3,2025-06-18,1366
Hub 1,2025-06-19,9310
Hub 2,2025-06-19,8899
Hub 3,2025-06-19,5766
Hub 1,2025-06-20,8196
Hub 2,2025-06-20,5077
Hub 3,2025-06-20,7118
Hub 1,2025-06-21,6660
Hub 2,2025-06-21,1966
Hub 3,2025-06-21,5476
Hub 1,2025-06-22,1077
Hub 2,2025-06-22,8179
Hub 3,2025-06-22,5521
Hub 1,2025-06-23,1972
Hub 2,2025-06-23,6123
Hub 3,2025-06-23,5826
Hub 1,2025-06-24,7533
Hub 2,2025-06-24,3306
Hub 3,2025-06-24,7746
Hub 1,2025-06-25,4003
Hub 2,2025-06-25,2880
Hub 3,2025-06-25,3035
Hub 1,2025-06-26,7944
Hub 2,2025-06-26,6254
Hub 3,2025-06-26,3546
Hub 1,2025-06-27,4476
Hub 2,2025-06-27,1751
Hub 3,2025-06-27,5549
Hub 1,2025-06-28,1073
Hub 2,2025-06-28,8021
Hub 3,2025-06-28,2960
Hub 1,2025-06-29,7190
Hub 2,2025-06-29,4543
Hub 3,2025-06-29,2373
